record_id,company_sector,interview_transcript
TC2-001,Retail,The employee resigned after feeling overlooked for a promotion despite strong performance reviews. They mentioned that communication from management was inconsistent and that targets were changed without notice. They appreciated their colleagues but felt the overall culture lacked transparency. They have accepted a role elsewhere with clearer career progression.
TC2-002,Retail,"The employee left due to physical exhaustion from long shifts and insufficient rest breaks. They raised concerns about understaffing during peak seasons, which increased pressure on the team. They enjoyed working with customers but felt their wellbeing was not prioritised. They are moving to a less physically demanding role."
TC2-003,Retail,The employee resigned primarily due to salary dissatisfaction. They noted that peers in similar roles at competitor companies earn significantly more. They had raised the issue with their line manager twice but received no response. They feel valued as a team member but could not continue under current compensation.
TC2-004,Retail,"The employee decided to leave after a conflict with a newly appointed supervisor whose management style they found dismissive. They reported feeling micromanaged and not trusted to perform their role independently. Prior to the change in supervision, they had enjoyed their time at the company and had no plans to leave."
TC2-005,Retail,The employee left to pursue a part-time study programme that was incompatible with the current shift schedule. They requested flexible hours but the request was declined. They expressed satisfaction with the role itself and said they would consider returning once their studies are complete. No significant workplace concerns were raised.
TC2-006,Retail,The employee resigned after relocating to a different emirate due to a family situation. The commute became unsustainable and no remote or hybrid arrangement was available for their role. They expressed positive sentiments about the team and management and said the decision was entirely personal. They hope to find a similar role closer to home.
TC2-007,Retail,The employee left after repeated incidents of verbal aggression from customers were not adequately addressed by management. They reported feeling unsafe and unsupported. They had submitted two formal complaints that they felt were dismissed. They believe better policies and staff protection measures would have changed their decision to leave.
TC2-008,Retail,"The employee resigned due to a lack of training and development opportunities. After two years in the same position, they received no structured learning or upskilling support. They expressed a desire to grow professionally and felt the company could not offer that. They are joining a competitor that has a formal development programme."
TC2-009,Retail,The employee left following a restructuring that changed their role significantly without consultation. They felt the new responsibilities were outside their expertise and that no adequate support was provided during the transition. They raised the issue with HR but felt the outcome was unsatisfactory. They are seeking a role more aligned with their original skill set.
TC2-010,Retail,The employee resigned after their contract was not renewed following the end of a probation extension. They felt the goalposts had shifted during the probation period and that feedback had been inconsistent. They expressed frustration at the lack of clarity around expectations and said clearer onboarding would have made a significant difference.
TC2-011,Hospitality,The employee left after two years due to burnout from rotating shifts and limited days off. They noted that requests for schedule adjustments were rarely accommodated. They enjoyed the guest interaction aspect of the role but felt the workload was unsustainable long term. They are taking a short break before considering their next opportunity.
TC2-012,Hospitality,"The employee resigned following a promotion that was verbally promised but never formalised. After six months of waiting, they accepted that it would not materialise and began looking elsewhere. They felt let down by the process and believed the lack of follow-through reflected a wider issue with management accountability in the organisation."
TC2-013,Hospitality,The employee left because the accommodation provided by the employer no longer met their needs following a change in family circumstances. They requested a housing allowance instead but the policy did not allow this. They had no other complaints about the role and would consider returning if the benefits structure became more flexible.
TC2-014,Hospitality,The employee resigned after feeling excluded from a team that had formed strong bonds before their arrival. They reported struggling to integrate and feeling that information was not always shared with them equally. They did not raise the issue formally as they felt it would not be taken seriously. They are hoping for a more inclusive environment elsewhere.
TC2-015,Hospitality,The employee left due to dissatisfaction with the tip and gratuity distribution policy. They felt the current system was unfair and that front-of-house staff carried a disproportionate share of guest complaints while receiving a smaller share of service charges. They raised the issue with management but no review was conducted.
TC2-016,Hospitality,"The employee resigned to return to their home country for personal and family reasons. They expressed genuine satisfaction with their role, their manager, and the working environment. No workplace concerns were mentioned. They indicated they would strongly recommend the company as an employer and hoped to return should circumstances allow in the future."
TC2-017,Hospitality,"The employee left after the company changed its policy on annual leave, reducing the number of days available to new joiners. They felt the change was unfair given that it was introduced after they had accepted the role. They had already planned travel that could no longer be accommodated. This was the primary reason for their resignation."
TC2-018,Hospitality,The employee resigned due to persistent issues with the point-of-sale system that made their role unnecessarily difficult. They had raised technical problems with the IT helpdesk multiple times without resolution. They felt that operational tools were not prioritised and that staff were expected to work around recurring system failures.
