applicant_id,platform,cv
TB-001,LinkedIn,"PROFESSIONAL SUMMARY
Dedicated retail sales associate with 3 years of experience in fast-paced environments. Skilled in customer service, stock management, and POS systems.

WORK EXPERIENCE
Retail Sales Associate – Carrefour UAE (2021–2024)
- Assisted 80+ customers daily, achieving top CSAT scores in the branch
- Managed inventory replenishment and merchandise displays
- Trained 5 new staff members on store procedures

EDUCATION
Bachelor of Business Administration – University of Sharjah (2021)

SKILLS
Customer service, POS systems, inventory management, teamwork, Arabic and English fluency"
TB-002,Bayt,"CAREER OBJECTIVE
Ambitious marketing graduate seeking an entry-level role in a retail environment where I can apply analytical and communication skills.

EDUCATION
BSc Marketing – American University of Dubai (2023)
GPA: 3.6/4.0

INTERNSHIP
Marketing Intern – Splash Fashion, Dubai (Jun–Sep 2022)
- Assisted with in-store promotional campaigns
- Analyzed weekly footfall reports and shared findings with the team
- Supported social media content creation

SKILLS
Microsoft Office, Canva, social media marketing, data analysis basics, English and Arabic"
TB-003,GulfTalent,"PROFILE
Experienced store supervisor with 6 years in UAE retail, specializing in team leadership and loss prevention.

EXPERIENCE
Store Supervisor – LuLu Hypermarket, Abu Dhabi (2018–2024)
- Supervised a team of 12 sales staff across two departments
- Reduced shrinkage by 18% through improved stock audit procedures
- Coordinated with suppliers for seasonal product launches

Store Associate – Geant, Dubai (2016–2018)

EDUCATION
Diploma in Retail Management – Sharjah Institute of Technology (2016)

SKILLS
Team management, loss prevention, supply coordination, MS Excel, bilingual Arabic/English"
TB-004,LinkedIn,"SUMMARY
Customer-focused professional with 2 years of retail experience and a passion for visual merchandising.

EXPERIENCE
Visual Merchandiser – Zara, Dubai Mall (2022–2024)
- Designed and executed seasonal floor layouts in line with brand guidelines
- Increased zone sales by 11% through improved product placement
- Collaborated with the marketing team on window displays

EDUCATION
Bachelor of Arts in Design – Dubai Institute of Design and Innovation (2022)

SKILLS
Visual merchandising, Adobe Illustrator, trend analysis, customer engagement, English"
TB-005,Naukrigulf,"OBJECTIVE
Results-driven retail professional with 4 years of cashier and customer relations experience looking to grow into a supervisory role.

EXPERIENCE
Senior Cashier – IKEA Abu Dhabi (2020–2024)
- Processed an average of 150 transactions per shift with zero discrepancy record
- Mentored junior cashiers on POS operations and conflict resolution
- Recognized as Employee of the Month three times

EDUCATION
High School Certificate – Al Ain Model School (2020)

SKILLS
POS systems, cash handling, customer service, conflict resolution, English and Hindi"
TB-006,LinkedIn,"PROFESSIONAL SUMMARY
Logistics coordinator with 5 years of experience in freight forwarding and supply chain operations across the GCC.

EXPERIENCE
Logistics Coordinator – Aramex, Dubai (2019–2024)
- Managed daily dispatch of 300+ shipments across UAE, KSA, and Kuwait
- Reduced last-mile delivery delays by 22% through route optimization
- Liaised with customs authorities for import/export documentation

EDUCATION
BSc Logistics and Supply Chain – University of Wollongong in Dubai (2019)

SKILLS
Freight coordination, SAP, customs documentation, route planning, English and Arabic"
TB-007,Bayt,"CAREER PROFILE
Entry-level warehouse operative with 1 year of experience in FMCG distribution, eager to build a career in logistics management.

EXPERIENCE
Warehouse Operative – Almarai, Dubai (2023–2024)
- Picked and packed 400+ SKUs per shift with 99.5% accuracy
- Operated reach trucks and forklift (certified)
- Assisted with cycle counts and stock reconciliation

EDUCATION
Diploma in Supply Chain Operations – Dubai College of Tourism (2023)

SKILLS
Warehouse management, forklift operation, stock control, WMS basics, English"
TB-008,GulfTalent,"SUMMARY
Fleet supervisor with 7 years of experience managing delivery operations for e-commerce companies in the UAE.

EXPERIENCE
Fleet Supervisor – Noon.com, Dubai (2020–2024)
- Oversaw a fleet of 45 drivers and vehicles across Dubai and Sharjah
- Achieved 97% on-time delivery rate for Q3 and Q4 2023
- Implemented GPS-based tracking to reduce fuel costs by 15%

Delivery Team Lead – Fetchr (2017–2020)

EDUCATION
BBA – Higher Colleges of Technology, Dubai (2017)

SKILLS
Fleet management, GPS tracking systems, KPI reporting, driver training, Arabic and English"
TB-009,Naukrigulf,"OBJECTIVE
Dedicated freight analyst with 3 years in air and sea cargo operations, seeking a role in a multinational logistics firm.

EXPERIENCE
Freight Analyst – Kuehne+Nagel, Jebel Ali (2021–2024)
- Analyzed shipment data to identify cost-saving opportunities
- Prepared customs clearance documentation for 200+ consignments monthly
- Coordinated with shipping lines on container bookings

EDUCATION
BSc International Trade – Ajman University (2021)

SKILLS
Freight analysis, customs clearance, SAP TM, Excel, English and Urdu"
TB-010,LinkedIn,"PROFILE
Operations executive with 2 years in third-party logistics (3PL), skilled in inventory management and client coordination.

EXPERIENCE
Operations Executive – DSV Logistics, Dubai (2022–2024)
- Managed inbound and outbound logistics for 3 key FMCG accounts
- Reduced stock discrepancies by 30% through improved cycle count schedules
- Prepared daily operations reports for senior management

EDUCATION
BSc Business Management – Middlesex University Dubai (2022)

SKILLS
Inventory management, 3PL operations, reporting, client coordination, English"
TB-011,LinkedIn,"SUMMARY
Creative digital marketing executive with 3 years of experience in social media strategy and content production for UAE brands.

EXPERIENCE
Digital Marketing Executive – Serviceplan Middle East, Dubai (2021–2024)
- Managed social media accounts for 4 clients with a combined following of 500K
- Ran paid campaigns on Meta and Google Ads with average ROAS of 4.2x
- Produced monthly performance reports and strategic recommendations

EDUCATION
BA Communications – Zayed University, Dubai (2021)

SKILLS
Meta Ads, Google Ads, content creation, analytics, Canva, English and Arabic"
